OBJECTID,Shape,ID_UNE,NOMBRE_SITIO,COD_COMUNA,COMUNA,BARRIO,DIRECCION,X_MAGNAMED,Y_MAGNAMED,LATITUD,LONGITUD
1,"(842824.9285000002, 1178661.2568)",WIFIMDE0006,Casa de Gobierno Santa Elena,90,90,2,CL 10 # 40 E - 44,842824.9285,1178661.2568,6.2097168,-75.49761963
2,"(842803.6964000001, 1186222.7378000002)",WIFIMDE0256,El Tambo,90,90,2,CL 86 - CR 42 E (Mini Glorieta Arvi),842803.6964,1186222.7378,6.27807617,-75.49780273
3,"(842472.9832000001, 1183704.4526)",WIFIMDE0179,@Medellín - Sapiencia,90,90,2,Centralidad Mazo,842472.9832,1183704.4526,6.25531006,-75.50079346
4,"(842371.3103, 1186492.7376)",ACP-2291181,Parque Arví - Centro Ambiental y Cultural Parque Arví,90,90,2,Parque Arví Santa Elena,842371.3103,1186492.7376,6.28051758,-75.50170898
5,"(842283.4759000001, 1186600.7483)",ACP-2151623,Plazoleta Estación Metrocable Parque Arví (exterior),90,90,2,Via a Piedras Blancas,842283.4759,1186600.7483,6.28149414,-75.50250244
6,"(841540.3874, 1186465.6387)",WIFIMDE0257,Fuerte de Carabineros,90,90,2,CL 86 - CR 31 E,841540.3874,1186465.6387,6.28027344,-75.50921631
7,"(839669.4783, 1181537.0043000001)",WIFIMDE0241,Placa Cubierta La Sierra,90,90,2,CL 56 B - CR 7 E,839669.4783,1181537.0043,6.23571777,-75.52612305
8,"(839419.5098, 1181449.2193999998)",WIFIMDE0227,Plazoleta Estación Metrocable Villa Sierra (exterior),08,08,1,CL 55 G - CR 3 E,839419.5098,1181449.2194,6.23492432,-75.52838135
9,"(838764.1948000002, 1181023.8442000002)",WIFIMDE0238,Parque Recreativo Barrio Jesús,09,09,1,CL 49 B - CR 5,838764.1948,1181023.8442,6.2310791,-75.53430176
10,"(838608.5867000001, 1184939.6036999999)",WIFIMDE0188,Ampliación La Honda,03,03,1,CL 71 B -  CR 24 BA ,838608.5867,1184939.6037,6.26647949,-75.53570557
